"county","precinct","TRUMP","CLINTON","JOHNSON","voters_16","ballots_16","turnout_16","HANDEL","OSSOFF","voters_17","ballots_17","turnout_17","winner2016","winner2017","D2016","D2017","diff"
"Fulton","JC11",1224,897,77,2794,2278,81.53,997,741,2987,1739,58.22,"Trump","Handel",57.71,57.36,-0.350000000000001
"Fulton","JC12",1177,579,41,2197,1836,83.57,1061,467,2342,1531,65.37,"Trump","Handel",67.03,69.44,2.41
"Fulton","JC13A",1011,449,61,1898,1560,82.19,882,391,1996,1273,63.78,"Trump","Handel",69.25,69.29,0.0400000000000063
"Fulton","JC13B",153,38,9,259,210,81.08,134,30,261,164,62.84,"Trump","Handel",80.1,81.71,1.61
"Fulton","JC14",1000,708,60,2197,1825,83.07,816,577,2337,1393,59.61,"Trump","Handel",58.55,58.58,0.0300000000000011
"Fulton","JC15",202,294,29,676,535,79.14,148,252,725,400,55.17,"Clinton","Ossoff",40.73,37,-3.73
"Fulton","JC16",907,802,102,2195,1862,84.83,752,694,2349,1446,61.56,"Trump","Handel",53.07,52.01,-1.06
"Fulton","JC18",1100,791,100,2455,2049,83.46,979,702,2585,1681,65.03,"Trump","Handel",58.17,58.24,0.0700000000000003
"Fulton","JC19",1239,1251,143,3221,2701,83.86,1056,1051,3463,2107,60.84,"Clinton","Handel",49.76,50.12,0.359999999999999
"Fulton","ML011",985,627,87,2050,1740,84.88,830,564,2196,1394,63.48,"Trump","Handel",61.1,59.54,-1.56
"Fulton","ML012",232,103,12,430,352,81.86,241,102,452,343,75.88,"Trump","Handel",69.25,70.26,1.01000000000001
"Fulton","ML01B",37,19,3,70,60,85.71,39,23,102,62,60.78,"Trump","Handel",66.07,62.9,-3.16999999999999
"Fulton","ML021",938,300,65,1627,1331,81.81,786,239,1749,1025,58.6,"Trump","Handel",75.77,76.68,0.910000000000011
"Fulton","ML022",104,35,17,204,162,79.41,91,34,229,125,54.59,"Trump","Handel",74.82,72.8,-2.02
"Fulton","ML023",716,266,49,1281,1050,81.97,624,208,1385,832,60.07,"Trump","Handel",72.91,75,2.09
"Fulton","ML024",57,16,3,88,78,88.64,34,13,98,48,48.98,"Trump","Handel",78.08,72.34,-5.73999999999999
"Fulton","ML03",1799,755,131,3312,2755,83.18,1568,611,3498,2179,62.29,"Trump","Handel",70.44,71.96,1.52
"Fulton","ML04A",738,433,61,1528,1254,82.07,609,350,1640,960,58.54,"Trump","Handel",63.02,63.5,0.479999999999997
"Fulton","ML04B",571,250,36,1061,882,83.13,503,209,1130,712,63.01,"Trump","Handel",69.55,70.65,1.10000000000001
"Fulton","ML04C",52,18,1,74,72,97.3,33,15,70,48,68.57,"Trump","Handel",74.29,68.75,-5.54000000000001
"Fulton","ML05A",14,18,0,35,33,94.29,11,8,35,19,54.29,"Clinton","Handel",43.75,57.89,14.14
"Fulton","ML05B",185,84,4,329,279,84.8,145,69,348,214,61.49,"Trump","Handel",68.77,67.76,-1.00999999999999
"Fulton","ML05C",1414,1243,116,3503,2826,80.67,1126,959,3743,2087,55.76,"Trump","Handel",53.22,54,0.780000000000001
"Fulton","ML06A",367,687,46,1514,1132,74.77,201,463,1683,664,39.45,"Clinton","Ossoff",34.82,30.27,-4.55
"Fulton","ML06B",710,1032,92,2340,1875,80.13,506,773,2539,1280,50.41,"Clinton","Ossoff",40.76,39.56,-1.2
"Fulton","ML071",45,32,3,84,80,95.24,39,16,88,55,62.5,"Trump","Handel",58.44,70.91,12.47
"Fulton","ML072",546,220,30,952,818,85.92,427,193,1065,620,58.22,"Trump","Handel",71.28,68.87,-2.41
"Fulton","ML07A",330,139,21,615,505,82.11,266,120,655,386,58.93,"Trump","Handel",70.36,68.91,-1.45
"Fulton","MP01",151,161,20,408,339,83.09,139,154,437,293,67.05,"Clinton","Ossoff",48.4,47.44,-0.960000000000001
"Fulton","RW01",2034,1253,145,4176,3541,84.79,1801,1143,4438,2945,66.36,"Trump","Handel",61.88,61.18,-0.700000000000003
"Fulton","RW02",1450,1232,173,3443,2924,84.93,1305,1114,3643,2421,66.46,"Trump","Handel",54.06,53.95,-0.109999999999999
"Fulton","RW03",1189,1445,150,3605,2858,79.28,978,1126,4002,2107,52.65,"Clinton","Ossoff",45.14,46.48,1.34
"Fulton","RW04",674,599,86,1634,1396,85.43,629,600,1733,1230,70.98,"Trump","Handel",52.95,51.18,-1.77
"Fulton","RW05",424,710,72,1739,1233,70.9,285,552,1964,837,42.62,"Clinton","Ossoff",37.39,34.05,-3.34
"Fulton","RW06",921,936,104,2459,2025,82.35,780,817,2666,1597,59.9,"Clinton","Ossoff",49.6,48.84,-0.759999999999998
"Fulton","RW07A",111,532,40,1110,706,63.6,51,351,1306,403,30.86,"Clinton","Ossoff",17.26,12.69,-4.57
"Fulton","RW07B",63,170,11,317,252,79.5,47,119,355,166,46.76,"Clinton","Ossoff",27.04,28.31,1.27
"Fulton","RW08",960,527,78,1955,1618,82.76,864,459,2085,1324,63.5,"Trump","Handel",64.56,65.31,0.75
"Fulton","RW09",2761,1404,190,5303,4498,84.82,2490,1238,5615,3729,66.41,"Trump","Handel",66.29,66.79,0.5
"Fulton","RW10",1361,935,123,2944,2504,85.05,1284,819,3130,2103,67.19,"Trump","Handel",59.28,61.06,1.78
"Fulton","RW11A",819,830,105,2250,1810,80.44,680,706,2442,1388,56.84,"Clinton","Ossoff",49.67,49.06,-0.609999999999999
"Fulton","RW12",2555,1627,192,5256,4505,85.71,2250,1346,5543,3598,64.91,"Trump","Handel",61.1,62.57,1.47
"Fulton","RW13",1286,1061,158,3127,2592,82.89,1216,937,3354,2154,64.22,"Trump","Handel",54.79,56.48,1.69
"Fulton","RW16",747,560,54,1641,1381,84.16,664,465,1763,1130,64.1,"Trump","Handel",57.15,58.81,1.66
"Fulton","RW17",660,972,110,2351,1800,76.56,575,819,2576,1396,54.19,"Clinton","Ossoff",40.44,41.25,0.810000000000002
"Fulton","RW19",858,569,76,1834,1550,84.51,818,510,1910,1328,69.53,"Trump","Handel",60.13,61.6,1.47
